Time Domain,,,Frequency Domain
N,Amplitude,,Freq,M,theta
158,-0.682749
159,-0.700543
160,-0.717912
161,-0.734845
162,-0.751332
163,-0.767363
164,-0.782928
165,-0.798017
166,-0.812622
167,-0.826734
168,-0.840344
169,-0.853444
170,-0.866025
171,-0.878081
172,-0.889604
173,-0.900587
174,-0.911023
175,-0.920906
176,-0.930229
177,-0.938988
178,-0.947177
179,-0.954791
180,-0.961826
181,-0.968276
182,-0.974139
183,-0.97941
184,-0.984086
185,-0.988165
186,-0.991645
187,-0.994522
188,-0.996795
189,-0.998464
190,-0.999526
191,-0.999981
192,-0.999829
193,-0.99907
194,-0.997705
195,-0.995734
196,-0.993159
197,-0.98998
198,-0.986201
199,-0.981823
200,-0.976848
201,-0.971281
202,-0.965124
203,-0.958381
204,-0.951057
205,-0.943154
206,-0.93468
207,-0.925638
208,-0.916034
209,-0.905873
210,-0.895163
211,-0.88391
212,-0.87212
213,-0.8598
214,-0.846958
215,-0.833602
216,-0.81974
217,-0.805381
218,-0.790532
219,-0.775204
220,-0.759405
221,-0.743145
222,-0.726434
223,-0.709281
224,-0.691698
225,-0.673696
226,-0.655284
227,-0.636474
228,-0.617278
229,-0.597707
230,-0.577774
231,-0.557489
232,-0.536867
233,-0.515918
234,-0.494656
235,-0.473094
236,-0.451244
237,-0.429121
238,-0.406737
239,-0.384106
240,-0.361242
241,-0.338158
242,-0.31487
243,-0.29139
244,-0.267733
245,-0.243914
246,-0.219946
247,-0.195845
248,-0.171626
249,-0.147302
250,-0.122888
251,-0.0984003
252,-0.0738525
253,-0.0492599
254,-0.0246374
